"","loc","mini","maxi"
"1","Chad, Moundou",2002-01-01,2017-12-01
"2","Chad, N'Djamena",2002-01-01,2017-12-01
"3","Chad, Sarh",2002-01-01,2017-12-01
"4","Chad, Abeche",2002-05-01,2017-12-01
"5","Mauritania, Tintane",2011-06-01,2017-12-01
"6","Mauritania, Magta-lahjar",2009-04-01,2017-12-01
"7","Nigeria, Ibadan, Bodija",2004-10-01,2017-12-01
"8","Nigeria, Kano, Dawanau",2004-10-01,2017-12-01
"9","Nigeria, Kaura Namoda",2005-01-01,2017-12-01
"10","Mauritania, Nouadhibou",2010-01-01,2017-12-01
"11","Nigeria, Dandume",2006-01-01,2017-12-01
"12","Nigeria, Giwa",2006-01-01,2017-09-01
"13","Nigeria, Saminaka",2006-01-01,2017-12-01
"14","Mauritania, Aoujeft",2009-03-01,2017-12-01
"15","Chad, Amtiman",2008-01-01,2017-12-01
"16","Chad, Bongor",2008-01-01,2017-12-01
"17","Chad, Kelo",2008-01-01,2017-12-01
"18","Chad, Mongo",2008-01-01,2017-12-01
"19","Nigeria, Gwandu, Dodoru",2008-07-01,2017-12-01
"20","Nigeria, Gombe",2009-03-01,2017-12-01
"21","Nigeria, Lagos, Mile 12",2009-05-01,2017-12-01
"22","Nigeria, Aba",2009-06-01,2017-08-01
"23","Nigeria, Maiduguri",2010-01-01,2017-12-01
"24","Mauritania, Nouakchott, March<8e> SCIM",2002-01-01,2017-12-01
"25","Mauritania, Kankossa",2010-12-01,2017-12-01
"26","Nigeria, Gujungu",2012-05-01,2017-12-01
"27","Mauritania, Adel Bagrou",2009-02-01,2017-12-01
"28","Djibouti, Djibouti City",2013-10-01,2017-06-01
"29","Nigeria, Damaturu",2015-01-01,2017-12-01
"30","Nigeria, Biu",2015-01-01,2017-12-01
"31","Nigeria, Mubi",2015-01-01,2017-08-01
"32","Nigeria, Potiskum",2015-11-01,2017-12-01
